threshold,accuracy,f1,pred_0,pred_1
0.1,0.3176470588235294,0.372972972972973,39,301
0.11,0.3323529411764706,0.3780821917808219,44,296
0.12,0.34705882352941175,0.38333333333333336,49,291
0.13,0.36176470588235293,0.38526912181303113,56,284
0.14,0.38235294117647056,0.3930635838150289,63,277
0.15,0.40294117647058825,0.40117994100294985,70,270
0.16,0.4235294117647059,0.40963855421686746,77,263
0.17,0.4441176470588235,0.41846153846153844,84,256
0.18,0.45588235294117646,0.4236760124610592,88,252
0.19,0.45588235294117646,0.4236760124610592,88,252
0.2,0.46176470588235297,0.4263322884012539,90,250
0.21,0.47941176470588237,0.43450479233226835,96,244
0.22,0.4823529411764706,0.4358974358974359,97,243
0.23,0.48823529411764705,0.43870967741935485,99,241
0.24,0.49411764705882355,0.43790849673202614,103,237
0.25,0.5088235294117647,0.44518272425249167,108,232
0.26,0.5323529411764706,0.45733788395904434,116,224
0.27,0.5558823529411765,0.47017543859649125,124,216
0.28,0.6176470588235294,0.5075757575757576,145,195
0.29,0.6617647058823529,0.5381526104417671,160,180
0.3,0.6764705882352942,0.5454545454545454,167,173
0.31,0.6970588235294117,0.5617021276595745,174,166
0.32,0.7058823529411765,0.5652173913043478,179,161
0.33,0.7176470588235294,0.5752212389380531,183,157
0.34,0.7352941176470589,0.5871559633027523,191,149
0.35,0.75,0.5971563981042654,198,142
0.36,0.7617647058823529,0.6009852216748769,206,134
0.37,0.8,0.6382978723404256,221,119
0.38,0.8470588235294118,0.6976744186046512,237,103
0.39,0.888235294117647,0.759493670886076,251,89
0.4,0.9117647058823529,0.7972972972972973,261,79
0.41,0.9205882352941176,0.8057553956834532,270,70
0.42,0.9235294117647059,0.8115942028985508,271,69
0.43,0.9294117647058824,0.8208955223880597,275,65
0.44,0.9294117647058824,0.8208955223880597,275,65
0.45,0.9294117647058824,0.8208955223880597,275,65
0.46,0.9294117647058824,0.8208955223880597,275,65
0.47,0.9294117647058824,0.8208955223880597,275,65
0.48,0.9205882352941176,0.7906976744186046,280,60
0.49,0.9264705882352942,0.8031496062992126,282,58
0.5,0.9235294117647059,0.7936507936507936,283,57
0.51,0.9235294117647059,0.7936507936507936,283,57
0.52,0.9264705882352942,0.8,284,56
0.53,0.9294117647058824,0.8064516129032258,285,55
0.54,0.9294117647058824,0.8064516129032258,285,55
0.55,0.9264705882352942,0.7967479674796748,286,54
0.56,0.9264705882352942,0.7967479674796748,286,54
0.57,0.9264705882352942,0.7933884297520661,288,52
0.58,0.9235294117647059,0.7833333333333333,289,51
0.59,0.9205882352941176,0.773109243697479,290,50
0.6,0.9147058823529411,0.7521367521367521,292,48
0.61,0.9147058823529411,0.7521367521367521,292,48
0.62,0.9147058823529411,0.7521367521367521,292,48
0.63,0.9147058823529411,0.7521367521367521,292,48
0.64,0.9117647058823529,0.7368421052631579,295,45
0.65,0.9117647058823529,0.7368421052631579,295,45
0.66,0.9088235294117647,0.7256637168141593,296,44
0.67,0.9088235294117647,0.7207207207207207,298,42
0.68,0.9088235294117647,0.7207207207207207,298,42
0.69,0.9088235294117647,0.7207207207207207,298,42
0.7,0.9088235294117647,0.7207207207207207,298,42
0.71,0.9088235294117647,0.7207207207207207,298,42
0.72,0.9088235294117647,0.7207207207207207,298,42
0.73,0.9088235294117647,0.7207207207207207,298,42
0.74,0.9029411764705882,0.6972477064220184,300,40
0.75,0.8970588235294118,0.6728971962616822,302,38
0.76,0.8970588235294118,0.6728971962616822,302,38
0.77,0.8970588235294118,0.6728971962616822,302,38
0.78,0.9,0.6792452830188679,303,37
0.79,0.8970588235294118,0.6666666666666666,304,36
0.8,0.8970588235294118,0.6666666666666666,304,36
0.81,0.8970588235294118,0.6666666666666666,304,36
0.82,0.8941176470588236,0.6538461538461539,305,35
0.83,0.8911764705882353,0.6407766990291263,306,34
0.84,0.8852941176470588,0.6138613861386139,308,32
0.85,0.8823529411764706,0.6,309,31
0.86,0.8794117647058823,0.5858585858585859,310,30
0.87,0.8794117647058823,0.5858585858585859,310,30
0.88,0.8676470588235294,0.5263157894736842,314,26
0.89,0.8647058823529412,0.5106382978723404,315,25
0.9,0.8647058823529412,0.5106382978723404,315,25
