index,ground_truth,nominal_pred,nominal_conf,guardian_pred,guardian_conf,disagreement,flagged,reason
0,0,0,0.84294426,0,0.50251585,0,0,clean
1,0,0,0.9806903,0,0.50234985,0,0,clean
2,0,0,0.966133,0,0.5024011,0,0,clean
3,1,1,1.0,0,0.5022726,1,0,clean
4,0,0,0.7971357,0,0.5025236,0,0,clean
5,0,0,0.9611367,0,0.50236195,0,0,clean
6,0,1,0.64548975,1,0.50547546,0,0,clean
7,0,1,0.64260066,1,0.5054231,0,0,clean
8,0,0,0.7762818,0,0.5025492,0,0,clean
9,0,0,0.7894876,0,0.502527,0,0,clean
10,1,1,0.8612166,1,0.50543857,0,0,clean
11,0,0,0.8096502,0,0.50254375,0,0,clean
12,1,0,0.77903295,1,0.50537163,1,0,clean
13,0,0,0.79118544,0,0.50251126,0,0,clean
14,0,0,0.8014977,0,0.5024718,0,0,clean
15,0,0,0.7808825,0,0.5025469,0,0,clean
16,0,0,0.7327361,0,0.5025667,0,0,clean
17,0,0,0.7445179,0,0.5025496,0,0,clean
18,0,0,0.8583815,1,0.50542873,1,0,clean
19,0,0,0.66627026,0,0.50244796,0,0,clean
20,0,0,0.7125141,0,0.5025505,0,0,clean
21,0,0,0.8045192,1,0.5054703,1,0,clean
22,0,0,0.8111826,0,0.5024686,0,0,clean
23,1,1,0.9481254,1,0.50545233,0,0,clean
24,1,1,0.990584,1,0.50545037,0,0,clean
25,1,0,0.55017287,0,0.50250113,0,0,clean
26,0,0,0.9502221,1,0.50532573,1,0,clean
27,0,0,0.9417986,1,0.5053248,1,0,clean
28,1,1,0.9794002,1,0.5054161,0,0,clean
29,0,0,0.81242543,0,0.50246465,0,0,clean
30,0,0,0.97031814,0,0.50245774,0,0,clean
31,1,1,0.63810545,0,0.5025223,1,0,clean
32,0,0,0.68237185,0,0.502531,0,0,clean
33,0,0,0.65108997,0,0.5023902,0,0,clean
34,0,0,0.67028236,0,0.5023857,0,0,clean
35,0,0,0.97744066,1,0.5052987,1,0,clean
36,0,0,0.8120714,0,0.5025739,0,0,clean
37,0,0,0.67180437,0,0.5024537,0,0,clean
38,0,0,0.8012458,0,0.50249755,0,0,clean
39,1,1,0.5973246,1,0.5054715,0,0,clean
40,0,0,0.7522876,1,0.5054209,1,0,clean
41,0,0,0.80438054,0,0.5025704,0,0,clean
42,0,0,0.74791527,1,0.5054135,1,0,clean
43,0,1,0.8300678,1,0.50536263,0,0,clean
44,0,0,0.836745,0,0.5024959,0,0,clean
45,0,1,0.93618476,1,0.50530654,0,0,clean
46,0,0,0.7877199,1,0.50531,1,0,clean
47,0,0,0.67688525,0,0.5024524,0,0,clean
48,0,0,0.7944508,0,0.50252116,0,0,clean
49,0,0,0.8051931,0,0.5025092,0,0,clean
50,1,1,0.9119484,1,0.5054519,0,0,clean
51,1,1,0.9300896,1,0.5053356,0,0,clean
52,0,0,0.6815239,0,0.50241965,0,0,clean
53,0,0,0.67973286,0,0.50251955,0,0,clean
54,0,0,0.72897536,0,0.502444,0,0,clean
55,0,0,0.8063849,0,0.5025747,0,0,clean
56,0,0,0.9877893,1,0.50555414,1,0,clean
57,0,1,0.8134929,1,0.5053351,0,0,clean
58,1,1,0.8870386,1,0.50549215,0,0,clean
59,1,1,0.9793189,0,0.50248665,1,0,clean
60,0,0,0.6766293,0,0.5025305,0,0,clean
61,0,0,0.6806126,1,0.5053368,1,0,clean
62,1,1,0.6550077,0,0.50254583,1,0,clean
63,0,0,0.80542046,0,0.5025534,0,0,clean
64,1,1,0.9936586,1,0.505466,0,0,clean
65,0,0,0.73328984,1,0.5054855,1,0,clean
66,0,0,0.68212277,1,0.5054629,1,0,clean
67,1,1,0.5462911,1,0.50548685,0,0,clean
68,0,0,0.78686005,0,0.50250876,0,0,clean
69,0,0,0.69090855,1,0.5053386,1,0,clean
