index,ground_truth,nominal_pred,nominal_conf,guardian_pred,guardian_conf,disagreement,flagged,reason
0,0,0,0.87710077,0,0.91227984,0,0,clean
1,0,0,0.9857317,0,0.98006797,0,0,clean
2,0,0,0.99978155,0,0.9996979,0,0,clean
3,1,1,0.9550583,0,0.5,1,0,clean
4,0,0,0.93918383,0,0.9307031,0,0,clean
5,0,0,0.99808717,0,0.9960552,0,0,clean
6,0,1,0.8042651,1,0.75268006,0,0,clean
7,0,1,0.87905216,1,0.7481881,0,0,clean
8,0,0,0.91539556,0,0.9191944,0,0,clean
9,0,0,0.9439727,0,0.93946207,0,0,clean
10,1,1,0.98867965,1,0.948668,0,0,clean
11,0,0,0.7848823,0,0.83686674,0,0,clean
12,1,0,0.9580686,0,0.9323556,0,0,clean
13,0,0,0.9339256,0,0.9555842,0,0,clean
14,0,0,0.810938,0,0.65977854,0,0,clean
15,0,0,0.92326164,0,0.9298969,0,0,clean
16,0,0,0.873693,0,0.91855526,0,0,clean
17,0,0,0.89261854,0,0.86844593,0,0,clean
18,0,0,0.9709418,0,0.95686466,0,0,clean
19,0,0,0.8119012,0,0.5439392,0,0,clean
20,0,0,0.7541954,0,0.7478429,0,0,clean
21,0,0,0.93694377,0,0.9481571,0,0,clean
22,0,0,0.93684274,0,0.9428507,0,0,clean
23,1,1,0.9999892,1,0.9880894,0,0,clean
24,1,1,1.0,1,0.9999959,0,0,clean
25,1,1,0.85682017,1,0.87840337,0,0,clean
26,0,0,0.9975259,0,0.99846154,0,0,clean
27,0,0,0.99771845,0,0.99832445,0,0,clean
28,1,1,0.99999994,1,0.99999636,0,0,clean
29,0,0,0.9760249,0,0.92234695,0,0,clean
30,0,0,0.9830626,0,0.9940131,0,0,clean
31,1,1,0.9289865,1,0.88936704,0,0,clean
32,0,0,0.83721995,0,0.7750982,0,0,clean
33,0,0,0.94354427,0,0.91912484,0,0,clean
34,0,0,0.95713234,0,0.9283137,0,0,clean
35,0,0,0.9981455,0,0.9901614,0,0,clean
36,0,0,0.94359106,0,0.9117173,0,0,clean
37,0,0,0.87254316,0,0.88845617,0,0,clean
38,0,0,0.9605653,0,0.97491324,0,0,clean
39,1,1,0.7596362,1,0.6964213,0,0,clean
40,0,0,0.8868123,0,0.8809642,0,0,clean
41,0,0,0.9169234,0,0.88450795,0,0,clean
42,0,0,0.8966454,0,0.8898359,0,0,clean
43,0,1,0.94429624,1,0.95859265,0,0,clean
44,0,0,0.9089597,0,0.94258296,0,0,clean
45,0,1,0.83041525,1,0.8712406,0,0,clean
46,0,0,0.9679791,0,0.80901086,0,0,clean
47,0,0,0.87212586,0,0.8839012,0,0,clean
48,0,0,0.9342583,0,0.92607284,0,0,clean
49,0,0,0.9470633,0,0.9634113,0,0,clean
50,1,1,0.9928574,1,0.9360932,0,0,clean
51,1,1,0.9143524,1,0.8976287,0,0,clean
52,0,0,0.93335944,0,0.85863423,0,0,clean
53,0,0,0.83587706,0,0.7431533,0,0,clean
54,0,0,0.9106096,0,0.92412716,0,0,clean
55,0,0,0.9317414,0,0.91329694,0,0,clean
56,0,0,0.9497229,0,0.9550238,0,0,clean
57,0,1,0.7576468,1,0.80532366,0,0,clean
58,1,1,0.98760945,1,0.94882846,0,0,clean
59,1,1,0.99999535,1,0.99343145,0,0,clean
60,0,0,0.86602986,0,0.8511254,0,0,clean
61,0,0,0.9846997,0,0.98084277,0,0,clean
