sampling,duration,len,mean,var,std,kurtosis,skew,n_peaks,smooth10_n_peaks,smooth20_n_peaks,diff_peaks,diff2_peaks,diff_var,diff2_var,gaps_squared,len_weighted,var_div_duration,var_div_len,anomaly
1.0,174.0,175.0,-1.6305293e-07,1.5586363e-10,1.2484536e-05,-1.3450474,0.056870203,2.0,2.0,2.0,2.0,5.0,4.691101e-12,9.221133e-12,206.0,175.0,8.95768e-13,8.906493e-13,1
5.0,185.0,38.0,0.2934052,0.09628955,0.31030557,-1.2393315,0.5630725,2.0,1.0,1.0,2.0,1.0,0.0070984103,0.0115185985,925.0,190.0,0.00052048406,0.0025339355,1
5.0,210.0,43.0,8.775807e-06,8.925327e-11,9.447395e-06,-0.8615816,-0.56215465,1.0,1.0,1.0,10.0,13.0,1.6491582e-12,9.300014e-13,1050.0,215.0,4.2501557e-13,2.0756576e-12,0
5.0,885.0,178.0,9.700201e-06,2.4932814e-11,4.993277e-06,-0.20711552,-0.899548,1.0,1.0,1.0,56.0,58.0,2.3146415e-13,6.1774083e-13,4425.0,890.0,2.8172672e-14,1.40072e-13,0
1.0,252.0,253.0,-7.73173e-06,4.7648846e-10,2.1828615e-05,-1.3868802,-0.09966775,1.0,1.0,1.0,74.0,84.0,5.2245903e-13,7.137834e-13,350.0,253.0,1.8908271e-12,1.8833535e-12,0
1.0,386.0,388.0,-9.35789e-06,3.9128023e-10,1.9780804e-05,-1.2246572,-0.18481046,1.0,1.0,1.0,124.0,134.0,3.2789177e-13,7.6929137e-13,540.0,388.0,1.0136794e-12,1.0084542e-12,0
5.0,781.0,157.0,2.0194625e-06,2.5797595e-10,1.606163e-05,-1.0348717,-0.1406973,1.0,1.0,1.0,48.0,52.0,6.9238083e-13,8.076413e-13,3911.0,785.0,3.303149e-13,1.6431589e-12,1
5.0,235.0,48.0,0.24621324,0.101887174,0.31919768,-0.8576983,0.88385105,1.0,1.0,1.0,1.0,5.0,0.0032544117,0.00064863916,1175.0,240.0,0.00043356244,0.0021226495,1
5.0,90.0,19.0,6.916548e-06,4.4228646e-10,2.1030608e-05,-1.3347213,-0.017019803,1.0,1.0,2.0,2.0,3.0,5.38947e-11,1.1904029e-11,450.0,95.0,4.914294e-12,2.3278235e-11,0
1.0,138.0,127.0,0.03177558,0.0015855691,0.039819207,-1.1287459,0.69758964,4.0,1.0,1.0,15.0,19.0,5.6656765e-05,0.0001178727,176.0,127.0,1.1489631e-05,1.2484797e-05,0
5.0,170.0,35.0,0.21147196,0.040470704,0.20117332,-1.3850645,0.39661205,1.0,1.0,1.0,2.0,2.0,0.0016881736,0.00047612205,850.0,175.0,0.00023806297,0.0011563059,1
5.0,80.0,17.0,-4.463564e-06,6.765526e-10,2.6010624e-05,-1.4073781,-0.08912393,1.0,1.0,2.0,1.0,0.0,9.0874065e-11,1.15298925e-11,400.0,85.0,8.456907e-12,3.979721e-11,0
5.0,335.0,58.0,-1.0617437e-06,8.2600754e-10,2.8740347e-05,-1.1000298,0.47473064,2.0,1.0,1.0,2.0,4.0,1.5052434e-10,3.648689e-10,4425.0,290.0,2.4656943e-12,1.424151e-11,1
1.0,748.0,749.0,1.9911638e-05,4.5784354e-10,2.1397278e-05,-1.018917,-0.6770223,2.0,2.0,1.0,1.0,3.0,8.803068e-12,2.4444086e-11,1038.0,749.0,6.120903e-13,6.112731e-13,1
5.0,210.0,43.0,0.12634209,0.01957593,0.139914,-1.0338082,0.78337514,1.0,1.0,1.0,1.0,7.0,0.00076089293,0.00020674015,1050.0,215.0,9.321871e-05,0.00045525416,0
1.0,185.0,186.0,-7.5435382e-06,8.7467235e-11,9.352392e-06,-1.1978992,-0.20818055,3.0,1.0,1.0,41.0,44.0,1.5755302e-12,4.361466e-12,253.0,186.0,4.7279585e-13,4.7025394e-13,0
5.0,95.0,20.0,9.748626e-06,5.007601e-10,2.237767e-05,-1.1139369,-0.25249636,1.0,1.0,1.0,3.0,4.0,5.2228565e-11,1.4624527e-11,475.0,100.0,5.2711594e-12,2.5038006e-11,0
1.0,336.0,290.0,0.0025328347,2.8008824e-05,0.0052923365,2.0480905,1.8873628,15.0,2.0,1.0,22.0,25.0,1.8360056e-06,5.2362607e-06,446.0,290.0,8.3359595e-08,9.658215e-08,1
5.0,80.0,17.0,1.6787135e-06,3.707986e-10,1.9256131e-05,-1.5058857,-0.018123772,1.0,1.0,2.0,1.0,2.0,5.3992463e-11,6.5126585e-12,400.0,85.0,4.6349825e-12,2.1811681e-11,0
5.0,75.0,16.0,1.0219477e-06,5.3033244e-10,2.3028948e-05,-1.4674779,-0.06324612,1.0,1.0,2.0,1.0,2.0,8.461936e-11,1.3539962e-11,375.0,80.0,7.0710993e-12,3.3145778e-11,0
1.0,176.0,160.0,0.2099903,0.04811853,0.21935937,-1.3828738,0.5027771,1.0,1.0,1.0,17.0,27.0,0.00012087109,6.367325e-05,246.0,160.0,0.00027340074,0.00030074082,0
5.0,530.0,107.0,0.37972182,0.16132234,0.4016495,-1.2272992,0.57404196,1.0,1.0,1.0,11.0,27.0,0.0007461281,9.43116e-05,2650.0,535.0,0.00030438177,0.0015076854,0
1.0,391.0,392.0,-3.2345738e-06,1.977654e-10,1.4062909e-05,-0.79576373,-0.8117326,1.0,2.0,2.0,2.0,3.0,1.0906849e-11,3.1264873e-11,533.0,392.0,5.0579387e-13,5.045036e-13,1
1.0,441.0,442.0,0.017010001,0.0003091108,0.017581547,-1.3663782,0.48099008,13.0,1.0,1.0,71.0,86.0,2.1230228e-06,5.8437085e-06,441.0,442.0,7.009315e-07,6.9934566e-07,0
1.0,301.0,302.0,4.268022e-06,5.629414e-10,2.3726387e-05,-0.9134368,-0.46488413,1.0,1.0,1.0,93.0,103.0,4.457724e-13,7.4294564e-13,413.0,302.0,1.8702373e-12,1.8640443e-12,0
1.0,306.0,307.0,5.0745366e-06,1.7746442e-10,1.3321577e-05,1.2731496,1.471848,1.0,1.0,1.0,2.0,2.0,1.5722031e-11,4.2015398e-11,342.0,307.0,5.7994907e-13,5.7806e-13,0
5.0,60.0,13.0,0.86892706,0.02010427,0.14178953,-1.157973,-0.12429043,1.0,1.0,1.0,1.0,0.0,0.004306259,0.0012775047,300.0,65.0,0.00033507118,0.0015464824,1
5.0,90.0,19.0,-1.944846e-06,5.7402216e-10,2.395876e-05,-1.300951,0.0975984,1.0,1.0,2.0,1.0,3.0,7.036494e-11,1.21184816e-11,450.0,95.0,6.3780244e-12,3.0211694e-11,0
1.0,187.0,188.0,-1.8629236e-06,7.579213e-10,2.753037e-05,-1.4837958,-0.034872826,1.0,1.0,1.0,45.0,51.0,1.7724308e-12,2.676771e-12,187.0,188.0,4.053055e-12,4.031496e-12,0
5.0,182.0,37.0,4.0121975e-07,1.3732766e-10,1.1718688e-05,-1.0915364,-0.04834694,2.0,1.0,1.0,2.0,2.0,2.0069765e-11,3.3568853e-11,926.0,185.0,7.545476e-13,3.7115584e-12,1
5.0,75.0,16.0,3.0161532e-06,1.6260662e-10,1.275173e-05,-1.3979367,0.002480928,1.0,1.0,2.0,2.0,4.0,2.6747776e-11,5.719421e-12,375.0,80.0,2.1680882e-12,1.0162914e-11,0
5.0,235.0,48.0,-2.7431884e-07,4.3280485e-10,2.0803962e-05,-1.4832892,-0.0093221655,1.0,1.0,1.0,5.0,14.0,7.829785e-12,1.057196e-12,1175.0,240.0,1.8417227e-12,9.016767e-12,0
5.0,55.0,12.0,0.8338537,0.015970472,0.12637433,-1.3710861,0.04848688,1.0,1.0,1.0,1.0,0.0,0.004650547,0.0009803239,275.0,60.0,0.0002903722,0.0013308726,0
1.0,292.0,293.0,0.17325172,0.04366275,0.20895633,-1.0969054,0.7477676,2.0,1.0,1.0,32.0,42.0,6.648399e-05,9.4860276e-05,292.0,293.0,0.00014952997,0.00014901962,0
1.0,175.0,176.0,1.494401e-06,2.7181168e-10,1.6486712e-05,-1.4919573,-0.015243301,1.0,1.0,1.0,50.0,57.0,7.1063354e-13,1.1492262e-12,235.0,176.0,1.5532096e-12,1.5443846e-12,0
5.0,80.0,17.0,9.852385e-06,5.843438e-10,2.4173205e-05,-1.0553617,-0.207657,1.0,1.0,1.0,1.0,3.0,8.18111e-11,1.4730302e-11,400.0,85.0,7.304298e-12,3.4373168e-11,0
5.0,80.0,17.0,0.07038959,0.003073458,0.05543878,-1.4963337,0.107041135,1.0,1.0,1.0,1.0,0.0,0.0004504218,7.823977e-05,400.0,85.0,3.8418228e-05,0.00018079166,0
5.0,185.0,38.0,0.0530667,0.005275003,0.07262922,-0.53939974,1.0151969,2.0,1.0,1.0,2.0,3.0,0.0015519396,0.003017406,925.0,190.0,2.851353e-05,0.00013881587,1
1.0,372.0,363.0,0.004709245,2.5035279e-05,0.0050035263,-1.3094623,0.4846274,47.0,1.0,1.0,59.0,69.0,3.1627515e-06,9.475837e-06,482.0,363.0,6.729913e-08,6.896771e-08,0
5.0,325.0,66.0,0.14070454,0.030507008,0.17466256,-0.9707951,0.8335224,1.0,1.0,1.0,3.0,5.0,0.00058252824,0.0002898159,1625.0,330.0,9.386772e-05,0.0004622274,1
5.0,380.0,77.0,0.62494844,0.09494723,0.3081351,-1.4567765,0.082832,1.0,1.0,1.0,4.0,23.0,0.00067718123,6.87538e-05,1900.0,385.0,0.00024986113,0.0012330809,0
1.0,439.0,440.0,-7.3756464e-06,1.10433045e-10,1.0508713e-05,-1.3624942,-0.17528957,2.0,2.0,2.0,1.0,4.0,2.911672e-12,5.926026e-12,511.0,440.0,2.515559e-13,2.5098418e-13,1
1.0,371.0,372.0,-5.3995996e-06,5.5983745e-11,7.4822287e-06,-1.510656,-0.1216109,1.0,1.0,1.0,64.0,81.0,3.9675026e-13,9.719004e-13,507.0,372.0,1.5089958e-13,1.5049393e-13,1
5.0,250.0,51.0,0.22229858,0.094917394,0.30808666,-0.4404618,1.0533805,2.0,1.0,1.0,1.0,1.0,0.017396463,0.04650056,1250.0,255.0,0.0003796696,0.0018611255,0
5.0,225.0,46.0,-6.101513e-06,7.4130764e-11,8.609923e-06,-1.5077952,0.022436345,1.0,1.0,1.0,7.0,15.0,1.6956805e-12,6.788934e-13,1125.0,230.0,3.2947007e-13,1.6115384e-12,0
1.0,369.0,370.0,4.9636433e-06,1.4585835e-10,1.2077183e-05,-1.3512031,-0.08359017,1.0,1.0,1.0,116.0,124.0,2.5613067e-13,6.3858565e-13,459.0,370.0,3.9528008e-13,3.9421176e-13,0
5.0,265.0,54.0,0.22294928,0.121782586,0.34897363,-0.06969317,1.2460643,1.0,1.0,1.0,1.0,5.0,0.004215247,0.00046369087,1325.0,270.0,0.00045955693,0.002255233,1
1.0,170.0,171.0,-7.1963555e-06,6.8046974e-10,2.6085816e-05,-1.3265287,0.10168249,2.0,1.0,1.0,1.0,2.0,5.4709487e-11,1.6092712e-10,236.0,171.0,4.0027634e-12,3.9793555e-12,1
5.0,90.0,19.0,0.08760848,0.0055393656,0.07442691,-1.4286069,0.2350523,1.0,1.0,1.0,1.0,3.0,0.00071138935,0.0001891832,450.0,95.0,6.1548504e-05,0.00029154556,0
5.0,570.0,115.0,5.824768e-06,1.5793129e-10,1.2567072e-05,-0.4981264,-0.42768326,1.0,1.0,1.0,28.0,38.0,8.5377994e-13,5.6009987e-13,2850.0,575.0,2.7707245e-13,1.3733156e-12,0
1.0,267.0,238.0,0.27369988,0.12653033,0.35571104,-0.9067774,0.8637725,1.0,1.0,1.0,17.0,31.0,0.00018578621,7.805171e-05,349.0,238.0,0.0004738964,0.0005316401,0
5.0,250.0,51.0,4.5324282e-07,4.736136e-10,2.1762664e-05,-0.76875764,-0.54310036,1.0,1.0,1.0,10.0,17.0,6.68924e-12,1.446163e-12,1250.0,255.0,1.8944542e-12,9.28654e-12,0
5.0,205.0,42.0,0.22980767,0.05594015,0.2365167,-1.3866767,0.46037063,1.0,1.0,1.0,2.0,4.0,0.0018088637,0.0007268753,1025.0,210.0,0.0002728788,0.0013319084,0
1.0,231.0,232.0,-2.4303652e-06,7.350877e-10,2.71125e-05,-1.4392165,-0.01539101,1.0,1.0,1.0,58.0,76.0,9.188304e-13,1.0601011e-12,231.0,232.0,3.1821978e-12,3.1684815e-12,1
5.0,235.0,48.0,-7.301357e-07,6.7490874e-10,2.5979007e-05,-1.4568152,0.015307775,1.0,1.0,1.0,2.0,17.0,1.1858819e-11,8.973188e-13,1175.0,240.0,2.8719522e-12,1.4060599e-11,0
5.0,560.0,113.0,0.34605658,0.15293092,0.3910638,-1.1989465,0.6445066,1.0,1.0,1.0,6.0,18.0,0.00075989746,0.00016269268,2800.0,565.0,0.0002730909,0.0013533708,0
1.0,294.0,295.0,0.31741443,0.14770824,0.38432828,-1.1112227,0.73331976,1.0,1.0,1.0,21.0,28.0,0.00018498766,0.00021386312,294.0,295.0,0.00050240895,0.00050070585,0
1.0,391.0,351.0,0.18884034,0.05861256,0.24210031,-1.0112581,0.8121546,2.0,1.0,1.0,16.0,19.0,0.00012392092,0.0002509533,535.0,351.0,0.00014990424,0.00016698735,0
5.0,655.0,132.0,2.6004598e-06,7.6978546e-10,2.7745007e-05,-1.3696694,-0.15346812,1.0,1.0,1.0,3.0,7.0,4.6423802e-12,6.2772496e-12,3275.0,660.0,1.1752449e-12,5.831708e-12,0
1.0,486.0,455.0,0.10553482,0.023992352,0.15489465,-0.6064197,1.0436648,2.0,1.0,1.0,39.0,46.0,1.6244056e-05,1.3722361e-05,596.0,455.0,4.936698e-05,5.2730444e-05,0
5.0,315.0,64.0,0.20867094,0.09390931,0.30644625,-0.2958072,1.1456242,1.0,1.0,1.0,1.0,9.0,0.002049297,0.00015737135,1575.0,320.0,0.0002981248,0.001467333,0
5.0,215.0,44.0,-1.4242894e-05,1.5634266e-10,1.2503706e-05,-1.195932,-0.36494493,1.0,1.0,1.0,5.0,15.0,2.9418232e-12,8.6312614e-13,1075.0,220.0,7.2717516e-13,3.5532421e-12,0
5.0,550.0,111.0,0.31047815,0.12721069,0.3566661,-1.3015163,0.60855544,1.0,1.0,1.0,4.0,15.0,0.000634961,0.00010736437,2750.0,555.0,0.00023129217,0.0011460423,0
1.0,158.0,159.0,-4.313484e-06,9.743291e-11,9.8708115e-06,-1.3936797,0.0043021026,2.0,1.0,1.0,28.0,36.0,2.013044e-12,4.2492455e-12,158.0,159.0,6.16664e-13,6.127856e-13,0
5.0,80.0,17.0,1.0818455e-05,4.8796606e-10,2.2089953e-05,-0.9778127,-0.17276993,1.0,1.0,1.0,2.0,3.0,7.3164204e-11,9.881898e-12,400.0,85.0,6.0995757e-12,2.8703886e-11,0
1.0,169.0,170.0,1.5444158e-08,2.365498e-10,1.5380176e-05,-1.5192485,-0.02274044,1.0,1.0,1.0,50.0,56.0,6.5478715e-13,9.636568e-13,211.0,170.0,1.3997029e-12,1.3914694e-12,0
5.0,80.0,17.0,-1.3885006e-06,1.4810872e-10,1.2169992e-05,-1.4625038,-0.09323231,1.0,1.0,2.0,1.0,1.0,2.1635273e-11,2.3458386e-12,400.0,85.0,1.851359e-12,8.712277e-12,1
5.0,265.0,54.0,0.3617423,0.14929648,0.38638902,-1.0814406,0.7230087,1.0,1.0,1.0,1.0,7.0,0.003211019,0.00038739573,1325.0,270.0,0.0005633829,0.0027647496,1
5.0,281.0,57.0,7.1610784e-06,3.759887e-11,6.1317915e-06,-1.5169932,-0.06981229,1.0,1.0,1.0,18.0,19.0,7.156946e-13,7.908176e-13,1435.0,285.0,1.338038e-13,6.5962925e-13,0
1.0,251.0,253.0,-1.024168e-05,2.705021e-10,1.6446947e-05,-1.4580858,-0.0475477,1.0,1.0,1.0,75.0,90.0,4.8247186e-13,9.407023e-13,347.0,253.0,1.0776976e-12,1.0691782e-12,0
5.0,195.0,40.0,-2.6569396e-06,1.1002529e-10,1.0489294e-05,-0.568877,-0.7922105,1.0,1.0,1.0,10.0,15.0,1.9872405e-12,6.5644034e-13,975.0,200.0,5.6423225e-13,2.7506322e-12,0
1.0,216.0,217.0,2.265339e-06,1.3622749e-10,1.1671653e-05,-1.4890604,0.0019479593,2.0,1.0,1.0,26.0,51.0,6.692201e-13,1.3332062e-12,254.0,217.0,6.306828e-13,6.277764e-13,1
5.0,345.0,70.0,0.111151025,0.0255605,0.15987651,-0.6276609,1.0277398,2.0,1.0,1.0,3.0,3.0,0.00204414,0.0048322817,1725.0,350.0,7.4088406e-05,0.00036515,0
1.0,158.0,160.0,-7.133315e-06,4.1586926e-10,2.0392872e-05,-1.4287648,-0.021996964,1.0,1.0,1.0,31.0,40.0,6.507023e-12,1.787873e-11,220.0,160.0,2.632084e-12,2.599183e-12,1
5.0,35.0,8.0,0.9444215,0.014571277,0.12071154,-0.8988222,-0.45896453,1.0,1.0,1.0,1.0,0.0,0.00769583,0.0018274572,175.0,40.0,0.0004163222,0.0018214097,0
1.0,313.0,280.0,0.24722172,0.12489775,0.35340875,-0.5391833,1.0516207,1.0,1.0,1.0,20.0,27.0,0.00017533585,0.000111844914,421.0,280.0,0.00039903432,0.00044606338,0
1.0,175.0,173.0,0.28419033,0.082931384,0.2879781,-1.347834,0.5160152,1.0,1.0,1.0,13.0,14.0,0.00023173606,0.00021718715,207.0,173.0,0.00047389363,0.00047937216,0
1.0,512.0,514.0,2.4247872e-06,1.5627988e-10,1.2501195e-05,-0.42604485,-0.56592184,4.0,2.0,2.0,42.0,60.0,2.4985222e-12,6.6320083e-12,648.0,514.0,3.0523414e-13,3.0404645e-13,1
5.0,290.0,59.0,-1.1974657e-06,7.292157e-10,2.7003993e-05,-1.5020207,0.06289171,1.0,1.0,1.0,6.0,18.0,8.895738e-12,1.0770721e-12,1450.0,295.0,2.5145368e-12,1.2359587e-11,0
