model,phase,attack_type,attack,round,clean_test_acc,clean_acc_evalsubset,adv_acc_evalsubset,acc_drop_evalsubset,attack_success_rate,train_poison_rate,train_adv_augmented,eval_attack_samples,poison_meta
LogReg,baseline,evasion,HSJ,0,0.9317647058823529,0.93,0.07,0.8600000000000001,1.0,0.0,0,200,
LogReg,baseline,evasion,Boundary,0,0.9317647058823529,0.93,0.38,0.55,0.6505376344086021,0.0,0,200,
LogReg,baseline,evasion,ZOO,0,0.9317647058823529,0.93,0.315,0.615,0.6612903225806451,0.0,0,200,
LogReg,poisoned,poison+evasion,LabelFlip(0.05) + HSJ,0,0.9129411764705883,0.88,0.12,0.76,1.0,0.05,0,200,"{""flip_rate"": 0.05, ""num_flipped"": 85}"
LogReg,poisoned,poison+evasion,LabelFlip(0.05) + Boundary,0,0.9129411764705883,0.88,0.13,0.75,0.9886363636363636,0.05,0,200,"{""flip_rate"": 0.05, ""num_flipped"": 85}"
LogReg,poisoned,poison+evasion,LabelFlip(0.05) + ZOO,0,0.9129411764705883,0.88,0.305,0.575,0.6534090909090909,0.05,0,200,"{""flip_rate"": 0.05, ""num_flipped"": 85}"
LogReg,poisoned,poison+evasion,LabelFlip(0.1) + HSJ,0,0.9058823529411765,0.885,0.115,0.77,1.0,0.1,0,200,"{""flip_rate"": 0.1, ""num_flipped"": 170}"
LogReg,poisoned,poison+evasion,LabelFlip(0.1) + Boundary,0,0.9058823529411765,0.885,0.32,0.565,0.751412429378531,0.1,0,200,"{""flip_rate"": 0.1, ""num_flipped"": 170}"
LogReg,poisoned,poison+evasion,LabelFlip(0.1) + ZOO,0,0.9058823529411765,0.885,0.25,0.635,0.7175141242937854,0.1,0,200,"{""flip_rate"": 0.1, ""num_flipped"": 170}"
LogReg,poisoned,poison+evasion,LabelFlip(0.2) + HSJ,0,0.8941176470588236,0.88,0.12,0.76,1.0,0.2,0,200,"{""flip_rate"": 0.2, ""num_flipped"": 340}"
LogReg,poisoned,poison+evasion,LabelFlip(0.2) + Boundary,0,0.8941176470588236,0.88,0.25,0.63,0.8465909090909091,0.2,0,200,"{""flip_rate"": 0.2, ""num_flipped"": 340}"
LogReg,poisoned,poison+evasion,LabelFlip(0.2) + ZOO,0,0.8941176470588236,0.88,0.285,0.595,0.6761363636363636,0.2,0,200,"{""flip_rate"": 0.2, ""num_flipped"": 340}"
LogReg,advtrain,evasion,HSJ,0,0.9317647058823529,0.915,0.085,0.8300000000000001,1.0,0.0,0,200,
LogReg,advtrain,evasion,Boundary,0,0.9317647058823529,0.915,0.37,0.545,0.6612021857923497,0.0,0,200,
LogReg,advtrain,evasion,ZOO,0,0.9317647058823529,0.915,0.295,0.6200000000000001,0.6775956284153005,0.0,0,200,
LogReg,advtrain,evasion,HSJ,1,0.9341176470588235,0.95,0.05,0.8999999999999999,1.0,0.0,500,200,
LogReg,advtrain,evasion,Boundary,1,0.9341176470588235,0.95,0.05,0.8999999999999999,1.0,0.0,500,200,
LogReg,advtrain,evasion,ZOO,1,0.9341176470588235,0.95,0.33,0.6199999999999999,0.6526315789473685,0.0,500,200,
LogReg,advtrain,evasion,HSJ,2,0.9364705882352942,0.925,0.1,0.8250000000000001,0.9675675675675676,0.0,1000,200,
LogReg,advtrain,evasion,Boundary,2,0.9364705882352942,0.925,0.185,0.74,0.8432432432432433,0.0,1000,200,
LogReg,advtrain,evasion,ZOO,2,0.9364705882352942,0.925,0.27,0.655,0.7081081081081081,0.0,1000,200,
NeuralNet,baseline,evasion,HSJ,0,0.9576470588235294,0.96,0.04,0.9199999999999999,1.0,0.0,0,200,
NeuralNet,baseline,evasion,Boundary,0,0.9576470588235294,,,,,0.0,0,200,
NeuralNet,baseline,evasion,ZOO,0,0.9576470588235294,0.96,0.365,0.595,0.6197916666666666,0.0,0,200,
NeuralNet,poisoned,poison+evasion,LabelFlip(0.05) + HSJ,0,0.9529411764705882,0.925,0.665,0.26,0.32432432432432434,0.05,0,200,"{""flip_rate"": 0.05, ""num_flipped"": 85}"
NeuralNet,poisoned,poison+evasion,LabelFlip(0.05) + Boundary,0,0.9529411764705882,,,,,0.05,0,200,"{""flip_rate"": 0.05, ""num_flipped"": 85}"
NeuralNet,poisoned,poison+evasion,LabelFlip(0.05) + ZOO,0,0.9529411764705882,0.925,0.46,0.465,0.5027027027027027,0.05,0,200,"{""flip_rate"": 0.05, ""num_flipped"": 85}"
NeuralNet,poisoned,poison+evasion,LabelFlip(0.1) + HSJ,0,0.9482352941176471,0.945,0.1,0.845,0.9523809523809523,0.1,0,200,"{""flip_rate"": 0.1, ""num_flipped"": 170}"
NeuralNet,poisoned,poison+evasion,LabelFlip(0.1) + Boundary,0,0.9482352941176471,,,,,0.1,0,200,"{""flip_rate"": 0.1, ""num_flipped"": 170}"
